x,y,C
78,9,6.037893257829015e-8
79,9,5.7009628679539117e-8
80,9,4.515923870533148e-8
81,9,2.893324117561889e-8
82,9,1.7067477251433465e-8
83,9,1.319722087445216e-8
84,9,1.1557489933187379e-8
85,9,1.046918682115511e-8
86,9,9.522649254417854e-9
87,9,8.252896452479651e-9
88,9,6.611577696547036e-9
89,9,4.777972908817877e-9
90,9,2.926431338507887e-9
91,9,1.2241486561192842e-9
92,9,1.7829018769566996e-10
93,9,2.2443634342773506e-11
94,9,2.879992672839004e-12
95,9,4.238742062118884e-13
96,9,7.559363783826513e-14
97,9,1.3796022054738388e-14
98,9,2.2136896628304526e-15
99,9,3.1928351222590307e-16
100,9,5.280779561262247e-17
1,10,1.6380659597841706e-15
2,10,9.39003392460292e-15
3,10,5.1106717270211404e-14
