x,y,T
123,6,0.5041155914108554
124,6,0.4969126261909646
125,6,0.49126607572548675
126,6,0.4872572495769466
127,6,0.4849462509154275
128,6,0.4843683953736161
1,7,0.41782108219609077
2,7,0.4209982190338027
3,7,0.42601393159813905
4,7,0.4327852270417964
5,7,0.4412070402005118
6,7,0.4511589832036254
7,7,0.4625122680422832
8,7,0.4751360927459015
9,7,0.4889029818660833
10,7,0.5036928160641008
11,7,0.5193955188779259
12,7,0.5359125506407628
13,7,0.5531574677253661
14,7,0.5710558325790205
15,7,0.5895447071860123
16,7,0.6085718313557129
17,7,0.6280943768621076
18,7,0.6480768797067333
19,7,0.6684876020078933
20,7,0.6892922194098146
21,7,0.7104434983886793
22,7,0.7318657408452206
23,7,0.7534335199641452
24,7,0.7749458659103989
25,7,0.7960996024333927
26,7,0.816468524124884
27,7,0.835497448927947
28,7,0.8525203313369986
29,7,0.8668081936682418
30,7,0.8776453587881234
31,7,0.8844229735301332
32,7,0.8867305311265263
33,7,0.8844229735347454
34,7,0.877645358797062
35,7,0.8668081936809819
36,7,0.8525203313528598
37,7,0.8354974489461896
38,7,0.816468524144799
39,7,0.7960996024543636
40,7,0.774945865931931
41,7,0.7534335199858766
42,7,0.7318657408669023
43,7,0.7104434984101516
44,7,0.6892922194309805
45,7,0.6684876020286935
46,7,0.6480768797271286
47,7,0.6280943768820648
48,7,0.6085718313751988
49,7,0.5895447072049853
50,7,0.5710558325974316
51,7,0.5531574677431556
52,7,0.53591255065786
53,7,0.5193955188942473
54,7,0.5036928160795507
55,7,0.4889029818805539
56,7,0.47513609275927304
57,7,0.46251226805442713
58,7,0.4511589832144064
59,7,0.4412070402097952
60,7,0.4327852270494516
61,7,0.4260139316040476
62,7,0.42099821903786516
63,7,0.417821082198234
64,7,0.41653767321760926
65,7,0.4171712805742287
66,7,0.41971161928820555
67,7,0.4241156836993065
68,7,0.43031103858089853
69,7,0.43820107819253695
70,7,0.44767153893885314
71,7,0.45859745410493696
72,7,0.4708497927706544
73,7,0.4843011971254067
74,7,0.49883046891851623
75,7,0.5143256989489957
76,7,0.5306861363606996
77,7,0.5478230276312519
78,7,0.565659705549409
79,7,0.5841311734594027
80,7,0.6031833098586088
81,7,0.6227716120057956
82,7,0.6428591049937789
83,7,0.663412680213933
84,7,0.6843967502737802
85,7,0.7057628456422004
86,7,0.727433857837417
87,7,0.74928235900272
88,7,0.7711040777731544
89,7,0.7925902336734648
90,7,0.813305575383981
91,7,0.8326815096925255
92,7,0.8500340090462989
93,7,0.8646125390111087
94,7,0.8756786971829156
95,7,0.8826032586684341
96,7,0.8849615015961164
97,7,0.8826032586733588
98,7,0.8756786971924528
99,7,0.8646125390246893
100,7,0.8500340090631856
101,7,0.83268150971192
102,7,0.8133055754051162
103,7,0.7925902336956767
104,7,0.7711040777959138
105,7,0.7492823590256397
106,7,0.7274338578602308
107,7,0.7057628456647396
108,7,0.6843967502959419
109,7,0.663412680235655
110,7,0.6428591050150202
111,7,0.6227716120265223
112,7,0.6031833098787862
113,7,0.5841311734789912
114,7,0.5656597055683579
115,7,0.5478230276495015
116,7,0.5306861363781776
117,7,0.5143256989656176
118,7,0.49883046893418587
119,7,0.484301197140016
120,7,0.4708497927840834
121,7,0.45859745411705827
122,7,0.44767153894953515
123,7,0.43820107820164955
124,7,0.43031103858831893
