x,y,C
114,2,7.567974929513964e-9
115,2,1.1616056969264526e-8
116,2,1.6405663313093093e-8
117,2,2.256831612890462e-8
118,2,3.0670466210200046e-8
119,2,4.201401287947392e-8
120,2,5.6013246883760136e-8
121,2,7.083721573910062e-8
122,2,8.586474646784699e-8
123,2,1.0082289447976539e-7
124,2,1.1414622557706105e-7
125,2,1.2483586189869134e-7
126,2,1.3321038112816955e-7
127,2,1.293467855347815e-7
128,2,8.219502783723142e-8
1,3,2.2876347056981204e-8
2,3,1.717124703823718e-10
3,3,8.19027772990892e-12
4,3,2.201200191814272e-12
5,3,1.84695932960276e-12
6,3,1.8256941186063665e-12
7,3,1.8405314669044945e-12
8,3,1.842447005862324e-12
9,3,1.8121806039262207e-12
10,3,1.7407406808221187e-12
11,3,1.6443985427898965e-12
12,3,1.5286571684657425e-12
13,3,1.3913036317374937e-12
14,3,1.2260633134837355e-12
15,3,1.047810531471877e-12
16,3,8.723396655151643e-13
17,3,7.071694369684217e-13
18,3,5.445459881659861e-13
19,3,3.8366400769619014e-13
20,3,2.436166232097513e-13
21,3,1.9701715554611108e-13
22,3,1.9471639067753078e-13
23,3,1.9652089677823135e-13
24,3,2.0738517117512778e-13
25,3,2.2971950091609306e-13
26,3,2.5278792474594427e-13
27,3,2.773797458997881e-13
28,3,3.0421459592105285e-13
29,3,3.3350250580932516e-13
30,3,3.653657183110092e-13
31,3,3.999679277488453e-13
32,3,4.375281387832956e-13
33,3,4.782939723851929e-13
34,3,5.225216851531415e-13
35,3,5.704995378829071e-13
36,3,6.225693056192404e-13
37,3,6.79079798199474e-13
38,3,7.40317751273567e-13
39,3,8.065374493163228e-13
40,3,8.781020658826391e-13
41,3,9.555817934080277e-13
42,3,1.039657979903356e-12
43,3,1.1308761435218033e-12
44,3,1.2294605294769882e-12
45,3,1.3353722838181501e-12
46,3,1.448606143273663e-12
47,3,1.5695569448275153e-12
48,3,1.6992687083920532e-12
49,3,1.8394825427528413e-12
50,3,1.992522001918991e-12
51,3,2.1611168339573375e-12
52,3,2.3482578402613626e-12
53,3,2.5571315564687217e-12
54,3,2.7911379614679793e-12
55,3,3.053974065606717e-12
56,3,3.3497401873966173e-12
57,3,3.683082745150687e-12
58,3,4.059284699992263e-12
59,3,4.48447221087214e-12
60,3,4.9655159269903966e-12
61,3,5.510940456077985e-12
62,3,6.128945398756147e-12
63,3,6.833336298132269e-12
64,3,7.626893347328495e-12
65,3,8.555323517286053e-12
66,3,9.68404956112348e-12
67,3,1.1029761491373964e-11
68,3,1.262946337498756e-11
69,3,1.457144646793313e-11
70,3,1.69603128536299e-11
71,3,1.9844948655090267e-11
72,3,2.327715295940498e-11
73,3,2.7170612311622088e-11
74,3,3.12641671257369e-11
75,3,3.532034919500733e-11
76,3,3.902599526471904e-11
77,3,4.3156382280246945e-11
78,3,4.815762659597087e-11
79,3,5.077718615009419e-11
80,3,5.0487359482262904e-11
81,3,4.8745447177347066e-11
82,3,4.835948558149527e-11
83,3,4.944187642298844e-11
84,3,5.140042438295569e-11
85,3,5.208637295646343e-11
86,3,5.214645830484856e-11
87,3,5.17264751858256e-11
88,3,4.842151813366529e-11
89,3,4.0996795818762375e-11
90,3,3.229567921032545e-11
91,3,2.2383391156158898e-11
92,3,1.1818928328541296e-11
93,3,2.6407591105393308e-12
94,3,3.4156775728309163e-13
95,3,8.729309006486292e-14
96,3,6.741472007702518e-14
97,3,7.039536182471365e-14
98,3,9.031466182118359e-14
99,3,1.3324615679008668e-13
100,3,1.8662794869621923e-13
101,3,2.57302399846826e-13
102,3,3.521429161287359e-13
103,3,4.791611660753964e-13
104,3,6.496571391711923e-13
105,3,8.79359235806629e-13
106,3,1.1872125241292989e-12
107,3,1.5940246978262208e-12
108,3,2.144981381688304e-12
109,3,2.870374669599707e-12
110,3,3.958750729392959e-12
111,3,6.028825292542247e-12
112,3,1.0235990373467833e-11
113,3,1.807300992178954e-11
114,3,3.054029678936047e-11
115,3,5.332482819196984e-11
116,3,8.70082391646996e-11
117,3,1.485770161420626e-10
118,3,2.5044436113520034e-10
119,3,4.092521564910631e-10
120,3,2.2878478192255653e-9
121,3,6.93307586646558e-9
122,3,1.5744413941977113e-8
123,3,2.9246689737674162e-8
124,3,4.7662858810449815e-8
125,3,6.739476737679356e-8
126,3,8.77478621658268e-8
127,3,1.026014692102291e-7
128,3,7.380068960691205e-8
1,4,1.4743491424870473e-8
2,4,8.004735851017743e-11
3,4,8.762176705180881e-12
4,4,8.045171979492962e-12
5,4,7.530728746345281e-12
6,4,7.1600870417854046e-12
7,4,6.816610283829443e-12
8,4,6.277279475779955e-12
9,4,5.606738805478991e-12
10,4,4.882615233126359e-12
11,4,4.122304836338117e-12
12,4,3.3570400979329476e-12
13,4,2.640504501910138e-12
14,4,2.0132793005702955e-12
15,4,1.4748965134967788e-12
16,4,1.0170368394959622e-12
17,4,6.327904585947778e-13
18,4,3.1901395836152546e-13
19,4,9.652475008162189e-14
20,4,1.733763894701852e-14
21,4,5.409389413785295e-15
22,4,3.586624422717139e-15
23,4,3.377054962175985e-15
24,4,3.374036914357394e-15
25,4,3.393396231689028e-15
26,4,3.449029158506716e-15
27,4,3.585458396070021e-15
28,4,3.914150843296376e-15
29,4,4.332380565819761e-15
30,4,4.8079798892872244e-15
31,4,5.33980366703273e-15
32,4,5.933953446169733e-15
33,4,6.599055608181281e-15
34,4,7.34516909444169e-15
35,4,8.182826111951207e-15
36,4,9.122498133490343e-15
37,4,1.0175302433357678e-14
38,4,1.135488695139954e-14
39,4,1.2679290312194158e-14
40,4,1.41713228916713e-14
41,4,1.5856935862525728e-14
42,4,1.7762443839114892e-14
43,4,1.9912339264782676e-14
44,4,2.2329246997262348e-14
45,4,2.5036539678272945e-14
46,4,2.806296359913997e-14
47,4,3.1447948534582445e-14
48,4,3.524631981885374e-14
49,4,3.953170614410528e-14
50,4,4.4398666565446497e-14
51,4,4.9964126652690163e-14
52,4,5.636898424173377e-14
53,4,6.378069795629824e-14
54,4,7.239749872558777e-14
55,4,8.245446074373816e-14
56,4,9.423170678744502e-14
57,4,1.0806459674211234e-13
58,4,1.2435737050417773e-13
59,4,1.4359789549490336e-13
60,4,1.6638236550161917e-13
61,4,1.9343183348382158e-13
62,4,2.2564696020310696e-13
63,4,2.64083152445524e-13
64,4,3.101675292604705e-13
65,4,3.653443683832168e-13
66,4,4.3104810488749664e-13
67,4,5.093962139469064e-13
68,4,6.029626998985148e-13
69,4,7.148316613790586e-13
70,4,8.485131905286546e-13
71,4,1.0078573156246356e-12
72,4,1.1971097074198963e-12
73,4,1.4208872357850004e-12
74,4,1.6836836632813755e-12
75,4,1.9889973699191624e-12
76,4,2.339056856710231e-12
77,4,2.7349880968836002e-12
78,4,3.174926486437768e-12
79,4,3.652782949851485e-12
80,4,4.162311278662006e-12
81,4,4.698411929132388e-12
82,4,5.256445334984224e-12
83,4,5.829301435358641e-12
84,4,6.406455757187136e-12
85,4,6.972916389510231e-12
86,4,7.2208242822373864e-12
87,4,7.245091077167183e-12
88,4,7.1548601701102625e-12
89,4,6.335143205872283e-12
90,4,4.503998007714822e-12
91,4,2.6412722062004624e-12
92,4,8.536738951364562e-13
93,4,1.1127462830359254e-13
94,4,1.3401139176008851e-14
95,4,1.8215888487539448e-15
96,4,6.32862217914917e-16
97,4,5.72096941989802e-16
98,4,6.41686805782313e-16
99,4,9.842195207065316e-16
100,4,1.5700303724510732e-15
101,4,2.429479788299584e-15
102,4,3.568835540570346e-15
103,4,5.4764985868107466e-15
104,4,7.84715644026787e-15
105,4,1.2040350781262119e-14
106,4,1.7339112076129e-14
107,4,2.5761147467579515e-14
108,4,3.7967021300746456e-14
109,4,5.552814186356203e-14
110,4,8.15849700328457e-14
111,4,1.2034925157567659e-13
112,4,1.7735021086067022e-13
